date,sampler_perf/mean_processing_ms,time_since_restore,timesteps_total,info/grad_time_ms,episode_reward_mean,experiment_id,training_iteration,timesteps_since_restore,iterations_since_restore,info/num_steps_trained,info/opt_peak_throughput,info/update_time_ms,hostname,info/sample_peak_throughput,sampler_perf/mean_inference_ms,timestamp,pid,info/sample_time_ms,episodes_total,time_total_s,episode_reward_min,episode_len_mean,episode_reward_max,info/opt_samples,time_this_iter_s,sampler_perf/mean_env_wait_ms,timesteps_this_iter,info/num_steps_sampled,node_ip,episodes_this_iter,done
2019-12-18_10-41-15,0.34245765305221987,16.71899938583374,36127,4.683,-276.89700000000005,39256a2dc336482785ed601076b83d42,44,36127,44,36127,167132.415,0.002,zack-XPS-15-9560,2241.917,0.5982234379196066,1576694475,8675,349.121,122,16.71899938583374,-641.0000000000009,71.79,381.39999999999895,782.7,0.3662605285644531,0.9877666892345212,845,36127,10.142.78.137,2,False
2019-12-18_10-41-16,0.3416398738434856,17.12987494468689,37066,4.768,-270.70000000000005,39256a2dc336482785ed601076b83d42,45,37066,45,37066,167900.508,0.002,zack-XPS-15-9560,2249.745,0.5971586621760355,1576694476,8675,355.863,125,17.12987494468689,-641.0000000000009,71.62,381.39999999999895,800.6,0.4108755588531494,0.9861221774388522,939,37066,10.142.78.137,3,False
2019-12-18_10-41-16,0.34085215630356364,17.53954768180847,38004,4.789,-272.8310000000001,39256a2dc336482785ed601076b83d42,46,38004,46,38004,168720.167,0.002,zack-XPS-15-9560,2252.668,0.5961516795469153,1576694476,8675,358.686,128,17.53954768180847,-641.0000000000009,71.74,381.39999999999895,808.0,0.40967273712158203,0.9842021707171854,938,38004,10.142.78.137,3,False
2019-12-18_10-41-17,0.34024702337974616,17.915271997451782,38832,4.855,-276.9450000000001,39256a2dc336482785ed601076b83d42,47,38832,47,38832,167339.651,0.002,zack-XPS-15-9560,2250.158,0.5953946935524267,1576694477,8675,361.086,131,17.915271997451782,-641.0000000000009,71.77,381.39999999999895,812.5,0.37572431564331055,0.9828474131812865,828,38832,10.142.78.137,3,False
2019-12-18_10-41-17,0.33970094952430174,18.277172565460205,39646,4.745,-285.0110000000001,39256a2dc336482785ed601076b83d42,48,39646,48,39646,172427.838,0.002,zack-XPS-15-9560,2261.463,0.5947613933799264,1576694477,8675,361.801,134,18.277172565460205,-641.0000000000009,71.89,179.4999999999983,818.2,0.36190056800842285,0.9815900858264779,814,39646,10.142.78.137,3,False
2019-12-18_10-41-17,0.3393446123616299,18.595686435699463,40340,5.016,-280.81000000000006,39256a2dc336482785ed601076b83d42,49,40340,49,40340,164608.769,0.002,zack-XPS-15-9560,2275.026,0.5943583351522765,1576694477,8675,362.941,136,18.595686435699463,-641.0000000000009,71.8,179.4999999999983,825.7,0.3185138702392578,0.9806025773488756,694,40340,10.142.78.137,2,False
2019-12-18_10-41-18,0.33883202958421704,18.983123302459717,41210,4.949,-276.7310000000001,39256a2dc336482785ed601076b83d42,50,41210,50,41210,166795.03,0.002,zack-XPS-15-9560,2273.05,0.5938277784827828,1576694478,8675,363.168,139,18.983123302459717,-641.0000000000009,71.83,179.4999999999983,825.5,0.3874368667602539,0.979165857811744,870,41210,10.142.78.137,3,False
2019-12-18_10-41-18,0.33810981606151225,19.36881375312805,42070,4.988,-276.8290000000002,39256a2dc336482785ed601076b83d42,51,42070,51,42070,166263.878,0.002,zack-XPS-15-9560,2271.136,0.5927644248405292,1576694478,8675,365.192,142,19.36881375312805,-641.0000000000009,71.76,179.4999999999983,829.4,0.38569045066833496,0.9771289588166353,860,42070,10.142.78.137,3,False
2019-12-18_10-41-19,0.33740940383614865,19.77886128425598,42979,5.055,-276.75100000000015,39256a2dc336482785ed601076b83d42,52,42979,52,42979,166434.198,0.002,zack-XPS-15-9560,2273.195,0.5918468471592186,1576694479,8675,370.14,145,19.77886128425598,-641.0000000000009,71.73,179.4999999999983,841.4,0.4100475311279297,0.975128903440671,909,42979,10.142.78.137,3,False
2019-12-18_10-41-19,0.3367508788379863,20.169315338134766,43844,5.078,-280.8040000000002,39256a2dc336482785ed601076b83d42,53,43844,53,43844,168623.747,0.002,zack-XPS-15-9560,2277.332,0.5910003437096194,1576694479,8675,375.966,148,20.169315338134766,-641.0000000000009,71.57,179.4999999999983,856.2,0.3904540538787842,0.9734230917365969,865,43844,10.142.78.137,3,False
