iterations_since_restore,node_ip,timestamp,date,episode_reward_min,episode_reward_max,hostname,sampler_perf/mean_processing_ms,info/grad_time_ms,info/sample_time_ms,episodes_this_iter,info/num_steps_sampled,info/update_time_ms,pid,sampler_perf/mean_inference_ms,info/opt_peak_throughput,info/sample_peak_throughput,episode_reward_mean,training_iteration,info/opt_samples,episodes_total,experiment_id,done,time_this_iter_s,timesteps_since_restore,info/num_steps_trained,sampler_perf/mean_env_wait_ms,time_since_restore,timesteps_total,timesteps_this_iter,time_total_s,episode_len_mean
49,10.142.78.137,1576701929,2019-12-18_12-45-29,-1066.7000000000028,568.6999999999978,zack-XPS-15-9560,0.48464729033848414,7.543,401.254,3,66487,0.001,17248,0.6386334743993153,175850.269,3305.882,-491.87600000000106,49,1326.5,131,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.4071199893951416,66487,66487,0.9358264544232747,20.551673889160156,66487,1376,20.551673889160156,74.63
50,10.142.78.137,1576701929,2019-12-18_12-45-29,-1066.7000000000028,568.6999999999978,zack-XPS-15-9560,0.48458288295023016,7.765,407.501,3,67851,0.001,17248,0.637846348084165,174288.834,3320.972,-495.9580000000011,50,1353.3,134,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.4299814701080322,67851,67851,0.9357170076156016,20.98165535926819,67851,1364,20.98165535926819,74.71
51,10.142.78.137,1576701930,2019-12-18_12-45-30,-1066.7000000000028,568.6999999999978,zack-XPS-15-9560,0.48455749772338824,7.825,411.788,3,69292,0.001,17248,0.6371397114339086,175809.991,3341.038,-494.0700000000011,51,1375.8,137,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.43868064880371094,69292,69292,0.9356802182223778,21.4203360080719,69292,1441,21.4203360080719,74.8
52,10.142.78.137,1576701930,2019-12-18_12-45-30,-1066.7000000000028,568.6999999999978,zack-XPS-15-9560,0.4845938445227839,7.881,413.99,2,70816,0.001,17248,0.6367007072520741,176004.57,3350.565,-508.3300000000012,52,1387.1,139,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.44371891021728516,70816,70816,0.9357542236559253,21.864054918289185,70816,1524,21.864054918289185,74.8
53,10.142.78.137,1576701931,2019-12-18_12-45-31,-1066.7000000000028,568.6999999999978,zack-XPS-15-9560,0.48468761289832585,7.848,412.435,3,72184,0.001,17248,0.6361389761611309,175753.836,3344.524,-500.28900000000135,53,1379.4,142,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.42119574546813965,72184,72184,0.935921582561515,22.285250663757324,72184,1368,22.285250663757324,74.7
54,10.142.78.137,1576701931,2019-12-18_12-45-31,-1066.7000000000028,568.6999999999978,zack-XPS-15-9560,0.4847463396921231,8.064,418.35,2,73684,0.001,17248,0.6357970420724187,174076.512,3355.562,-500.3290000000012,54,1403.8,144,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.44763612747192383,73684,73684,0.9360140439087183,22.732886791229248,73684,1500,22.732886791229248,74.78
55,10.142.78.137,1576701932,2019-12-18_12-45-32,-1066.7000000000028,568.6999999999978,zack-XPS-15-9560,0.4848663751863383,8.124,420.765,3,75132,0.001,17248,0.6353728098203233,172394.286,3328.702,-508.40600000000114,55,1400.6,147,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.45345306396484375,75132,75132,0.9361730968892832,23.186339855194092,75132,1448,23.186339855194092,74.76
56,10.142.78.137,1576701932,2019-12-18_12-45-32,-1066.7000000000028,568.6999999999978,zack-XPS-15-9560,0.4850433695401659,8.255,424.708,3,76739,0.001,17248,0.634982518204408,172903.667,3360.66,-516.6310000000011,56,1427.3,150,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.4642469882965088,76739,76739,0.936472878013651,23.6505868434906,76739,1607,23.6505868434906,74.68
57,10.142.78.137,1576701933,2019-12-18_12-45-33,-1066.7000000000028,568.6999999999978,zack-XPS-15-9560,0.4851551353949888,8.323,427.481,2,77953,0.001,17248,0.6347261026690224,173281.907,3373.954,-516.5850000000011,57,1442.3,152,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.3814668655395508,77953,77953,0.9366683920539991,24.03205370903015,77953,1214,24.03205370903015,74.69
58,10.142.78.137,1576701933,2019-12-18_12-45-33,-1066.7000000000028,568.6999999999978,zack-XPS-15-9560,0.48531187460042147,8.147,421.854,3,79304,0.001,17248,0.6343684752797655,174217.967,3364.433,-516.6510000000012,58,1419.3,155,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.4191601276397705,79304,79304,0.9369424161891691,24.451213836669922,79304,1351,24.451213836669922,74.81
