episodes_total,experiment_id,info/sample_peak_throughput,episode_reward_mean,timesteps_this_iter,timesteps_total,time_since_restore,done,info/sample_time_ms,info/grad_time_ms,info/update_time_ms,timesteps_since_restore,info/num_steps_sampled,timestamp,sampler_perf/mean_env_wait_ms,episode_len_mean,info/num_steps_trained,episode_reward_max,info/opt_peak_throughput,time_total_s,iterations_since_restore,episode_reward_min,info/opt_samples,sampler_perf/mean_processing_ms,episodes_this_iter,node_ip,date,sampler_perf/mean_inference_ms,hostname,training_iteration,pid,time_this_iter_s
152,db15454e139b45a4977ecbeb588ffe50,3123.239,-252.91999999999996,931,45018,13.981041669845581,False,256.593,4.908,0.001,45018,45018,1576686998,0.389607707013265,70.65,45018,382.499999999999,163283.196,13.981041669845581,54,-640.3000000000009,801.4,0.2997810791958344,3,10.142.78.137,2019-12-18_08-36-38,0.5664551215510389,zack-XPS-15-9560,54,30967,0.26450133323669434
155,db15454e139b45a4977ecbeb588ffe50,3128.079,-250.90999999999997,758,45776,14.234292030334473,False,256.291,4.878,0.001,45776,45776,1576686998,0.3896971269815785,70.59,45776,382.499999999999,164347.853,14.234292030334473,55,-640.3000000000009,801.7,0.299787891369925,3,10.142.78.137,2019-12-18_08-36-38,0.566307294532923,zack-XPS-15-9560,55,30967,0.2532503604888916
158,db15454e139b45a4977ecbeb588ffe50,3119.07,-252.92799999999986,873,46649,14.505153894424438,False,255.493,4.804,0.001,46649,46649,1576686999,0.38982695329571354,70.5,46649,382.499999999999,165889.484,14.505153894424438,56,-640.3000000000009,796.9,0.299832608778182,3,10.142.78.137,2019-12-18_08-36-39,0.5662289611758001,zack-XPS-15-9560,56,30967,0.2708618640899658
161,db15454e139b45a4977ecbeb588ffe50,3138.092,-253.03299999999987,870,47519,14.761381149291992,False,254.709,4.795,0.001,47519,47519,1576686999,0.3899620578405278,70.54,47519,382.499999999999,166710.95,14.761381149291992,57,-640.3000000000009,799.3,0.2998877320257158,3,10.142.78.137,2019-12-18_08-36-39,0.5661784416217559,zack-XPS-15-9560,57,30967,0.2562272548675537
163,db15454e139b45a4977ecbeb588ffe50,3101.244,-253.13499999999993,682,48201,15.029507160186768,False,250.706,4.725,0.001,48201,48201,1576686999,0.39001532625885604,70.94,48201,382.499999999999,164547.661,15.029507160186768,58,-640.3000000000009,777.5,0.29990654690271357,2,10.142.78.137,2019-12-18_08-36-39,0.566151799642221,zack-XPS-15-9560,58,30967,0.2681260108947754
166,db15454e139b45a4977ecbeb588ffe50,3091.645,-248.94799999999992,880,49081,15.3201322555542,False,252.358,4.738,0.001,49081,49081,1576686999,0.3900932639812426,70.84,49081,382.499999999999,164662.11,15.3201322555542,59,-640.3000000000009,780.2,0.2999444432817092,3,10.142.78.137,2019-12-18_08-36-39,0.566097144363475,zack-XPS-15-9560,59,30967,0.29062509536743164
169,db15454e139b45a4977ecbeb588ffe50,3131.298,-246.97799999999995,854,49935,15.584998369216919,False,255.389,4.882,0.001,49935,49935,1576687000,0.39019499203077734,70.92,49935,382.499999999999,163791.356,15.584998369216919,60,-640.3000000000009,799.7,0.3000057971781472,3,10.142.78.137,2019-12-18_08-36-40,0.5660780847045226,zack-XPS-15-9560,60,30967,0.2648661136627197
172,db15454e139b45a4977ecbeb588ffe50,3184.72,-245.02599999999993,922,50857,15.881032466888428,False,261.436,4.961,0.001,50857,50857,1576687000,0.39032449546573017,70.95,50857,382.499999999999,167841.506,15.881032466888428,61,-640.3000000000009,832.6,0.3000813182298531,3,10.142.78.137,2019-12-18_08-36-40,0.5661271580914577,zack-XPS-15-9560,61,30967,0.2960340976715088
175,db15454e139b45a4977ecbeb588ffe50,3179.423,-240.8049999999999,804,51661,16.140193462371826,False,259.796,4.976,0.001,51661,51661,1576687000,0.39045102948940735,70.72,51661,382.499999999999,165998.826,16.140193462371826,62,-640.3000000000009,826.0,0.30015148574017947,3,10.142.78.137,2019-12-18_08-36-40,0.5662150262617303,zack-XPS-15-9560,62,30967,0.25916099548339844
178,db15454e139b45a4977ecbeb588ffe50,3188.58,-246.80999999999992,839,52500,16.412084579467773,False,263.848,5.077,0.001,52500,52500,1576687000,0.39058027425595976,70.65,52500,382.499999999999,165708.729,16.412084579467773,63,-640.3000000000009,841.3,0.30022477443224305,3,10.142.78.137,2019-12-18_08-36-40,0.5663517455348508,zack-XPS-15-9560,63,30967,0.27189111709594727
